product_id,title,description,_id
8821974,Resistencia,32 paneles de igual superficie que favorecen la conservación de la forma.,66424ebff1497167766289ba
8821974,Toque de balón,"Exterior de PU de 0,8 mm con respaldo de espuma múltiple para un tacto suave.",66424ec0f1497167766289bb
8821974,Ease of inflation,Cámara de caucho + válvula PAL (Puma Air Lock) para una excelente retención.,66424ec0f1497167766289bc
8869111,Resistencia,Resistencia a la fricción gracias al revestimiento 100% TPU.,66424ecaf1497167766289bd
8869111,Inflado duradero,Conservación de la presión garantizada gracias a su cámara de Butilo.,66424ecaf1497167766289be
8869111,Toque del balón,La construcción cosida a máquina garantiza un buen toque del balón,66424ecaf1497167766289bf
8869113,Resistencia,Resistencia a la fricción gracias al revestimiento 100% TPU.,66424ed4f1497167766289c0
8869113,Inflado duradero,Conservación de la presión garantizada gracias a su cámara de Butilo.,66424ed4f1497167766289c1
8869113,Toque del balón,Construcción TSBE sin costuras para un mejor toque y menor absorción de agua,66424ed5f1497167766289c2
8789910,Resistencia,Revestimiento exterior de TPU para una buena resistencia.,66424edff1497167766289c3
8789910,Inflado duradero,Cámara optimizada para una buena retención del aire.,66424edff1497167766289c4
8789910,Calidad de rebote,El balón cumple con las exigencias internacionales del fútbol en cuanto al rebote.,66424edff1497167766289c5
8547126,Toque del balón,El revestimiento de caucho aporta un buen toque de balón.,66424eeaf1497167766289c6
8547126,Resistencia,"Buena resistencia gracias al revestimiento de caucho de 1,2 mm.",66424eeaf1497167766289c7
8547126,Fijación,Agarre adecuado para la práctica ocasional del baloncesto.,66424eeaf1497167766289c8
8547126,Calidad de rebote,Buena calidad de rebote gracias a la cámara totalmente revestida de poliéster.,66424eeaf1497167766289c9
960301,Toque del balón,Balón de espuma de baja densidad para ofrecer un tacto de balón agradable.,66424ef4f1497167766289ca
960301,Calidad de rebote,Bajo rebote para facilitar el aprendizaje.,66424ef5f1497167766289cb
960301,Resistencia,Resistente al uso en interior.,66424ef5f1497167766289cc
8773833,Resistencia,"Costuras del balón en el interior, por lo tanto invisibles y más resistentes.",66424efff1497167766289cd
8773833,Calidad de rebote,Rebote controlado y regular gracias a la guata integrada.,66424efff1497167766289ce
8773833,Inflado duradero,Conservación de la presión asegurada gracias a la cámara de butilo/látex.,66424efff1497167766289cf
8547127,Resistencia,"Buena resistencia gracias al revestimiento de caucho de 1,2 mm.",66424f0af1497167766289d0
8547127,Toque del balón,El revestimiento de caucho aporta un buen toque de balón.,66424f0af1497167766289d1
8547127,Fijación,Agarre adecuado para la práctica ocasional del baloncesto.,66424f0af1497167766289d2
8547127,Calidad de rebote,Buena calidad de rebote gracias a la cámara totalmente revestida de poliéster.,66424f0af1497167766289d3
8604441,Toque del balón,"Para un agarre agradable, el balón se ha concebido con material sintético.",66424f15f1497167766289d4
8604441,Resistencia,En nuestros laboratorios este balón de vóley resiste test de 5.000 lanzamientos.,66424f15f1497167766289d5
8640987,Toque del balón,El toque de espuma hace que los intercambios en el vóley sean agradables.,66424f20f1497167766289d6
8640987,Peso,"Balón ligero, ideal para el aprendizaje del voleibol en interior.",66424f20f1497167766289d7
8640987,Resistencia,Prueba realizada en laboratorio de 5.000 disparos a 50 km/h.,66424f20f1497167766289d8
8640987,Calidad de rebote,Sin cambios bruscos de dirección cuando el balón toca el suelo.,66424f20f1497167766289d9
8549565,Toque del balón,Componente suave y adherente para un contacto agradable y controlado.,66424f2bf1497167766289da
8549565,Resistencia,"Revestimiento de poliuretano cosido a mano, para una buena resistencia del balón",66424f2bf1497167766289db
8549565,Control de la trayectoria,Mejor distribución del peso para una trayectoria controlada.,66424f2bf1497167766289dc
8549565,Inflado duradero,"La cámara de alto rendimiento, fabricada con un 80 % de butilo, garantiza un inflado resistente.",66424f2cf1497167766289dd
8549565,Impermeabilidad,Limita la absorción de agua hasta un 15 % del peso inicial del balón.,66424f2cf1497167766289de
8585384,Ligereza,Este balón es más ligero para facilitar los chutes y otros gestos.,66424f36f1497167766289df
8585384,Toque del balón,Revestimiento de 1 mm para un toque de balón óptimo.,66424f36f1497167766289e0
8585384,Resistencia,"Costuras del balón en el interior, por lo tanto invisibles y más resistentes.",66424f36f1497167766289e1
8585384,Calidad de rebote,Rebote controlado y regular gracias a la guata integrada.,66424f36f1497167766289e2
8585384,Inflado duradero,Conservación de la presión asegurada gracias a la cámara de butilo/látex.,66424f36f1497167766289e3
8623709,Resistencia,Revestimiento 100% poliuretano.,66424f41f1497167766289e4
8623709,Inflado duradero,Cámara de butilo para una conservación de la presión excelente.,66424f41f1497167766289e5
8623709,Toque del balón,Cosido a mano para la durabilidad y el toque del balón.,66424f41f1497167766289e6
8623709,Control de la trayectoria,"Pruebas de circunferencia, de peso y de rebote de la FIFA aprobadas con éxito.",66424f41f1497167766289e7
8821159,Tracción,Revestimiento de materia sintética texturizada para un buen agarre.,66424f4bf1497167766289e8
8821159,Resistencia,Paneles cosidos a máquina.,66424f4bf1497167766289e9
8821159,Ligereza,Un balón más ligero diseñado para facilitar el aprendizaje.,66424f4cf1497167766289ea
8648076,Toque del balón,Buen tacto gracias al revestimiento de materia plástica con espuma,66424f56f1497167766289eb
8648076,Inflado duradero,Prolonga el periodo entre dos inflados gracias a la cámara con 30 % de butilo.,66424f56f1497167766289ec
8648076,Calidad de rebote,Buena calidad de rebote gracias a la cámara totalmente revestida de poliéster.,66424f56f1497167766289ed
8648076,Resistencia,Buena resistencia gracias al revestimiento de materia plástica con espuma.,66424f56f1497167766289ee
8648076,Tracción,Buen agarre gracias al diseño profundo de los canales.,66424f57f1497167766289ef
8741009,Resistencia,Buena resistencia gracias a su revestimiento de caucho,66424f61f1497167766289f0
8741009,Tracción,El grano del revestimiento exterior del balón asegura un buen agarre.,66424f61f1497167766289f1
8741009,Toque del balón,Buen tacto de balón gracias al revestimiento de caucho.,66424f61f1497167766289f2
8774096,Resistencia,Espuma de poliuretano de alta densidad para mayor resistencia.,66424f6bf1497167766289f3
8774096,Reducción de los impactos,Balón de espuma para que los niños puedan jugar sin hacerse daño.,66424f6bf1497167766289f4
8774096,Calidad de rebote,Balón de espuma con una cámara provista de válvula accesible.,66424f6cf1497167766289f5
8774096,Ligereza,"Balón de 350 gramos, el peso de un balón de talla 4.",66424f6cf1497167766289f6
8563502,Adaptabilidad,Talla adecuada para aprender los gestos técnicos del fútbol sala,66424f76f1497167766289f7
8563502,Toque del balón,"Revestimiento de PU de 0,7 mm para un toque de balón óptimo.",66424f76f1497167766289f8
8563502,Calidad de rebote,Rebote controlado y regular gracias a la guata integrada.,66424f76f1497167766289f9
8821160,Tracción,Revestimiento de materia sintética texturizada para un buen agarre.,66424f81f1497167766289fa
8821160,Resistencia,Paneles cosidos a máquina para una resistencia duradera.,66424f81f1497167766289fb
8821160,Ligereza,Un balón más ligero diseñado para facilitar el aprendizaje.,66424f81f1497167766289fc
8853512,Toque del balón,Buen tacto gracias al revestimiento de caucho esponjoso.,66424f8cf1497167766289fd
8853512,Resistencia,"Buena resistencia gracias al revestimiento de caucho de 1,4 mm.",66424f8cf1497167766289fe
8853512,Inflado duradero,Prolonga el periodo entre dos inflados gracias a la cámara con 30% de butilo.,66424f8cf1497167766289ff
8853512,Fijación,Buen agarre gracias al diseño profundo de los canales.,66424f8cf149716776628a00
8853512,Calidad de rebote,Buena calidad de rebote gracias a la cámara totalmente revestida de poliéster.,66424f8df149716776628a01
8602095,Toque del balón,El toque de espuma hace que los intercambios en el voleibol sean agradables.,66424f98f149716776628a02
8602095,Peso,"Balón ligero, 230/250 g, ideal para el aprendizaje del voleibol en interior.",66424f98f149716776628a03
8602095,Resistencia,Prueba realizada en laboratorio de 5.000 disparos a 50 km/h.,66424f98f149716776628a04
8602095,Calidad de rebote,Sin cambios bruscos de dirección cuando el balón toca el suelo.,66424f98f149716776628a05
8324591,Calidad de rebote,Materia sintética SUPER-TOUCH de nueva generación.,66424fa3f149716776628a06
8324591,Solidez,Gran resistencia al desgaste.,66424fa3f149716776628a07
8324591,Toque del balón,Balón muy suave y muy flexible.,66424fa3f149716776628a08
8796499,Toque del balón,El componente exterior de poliuretano le aporta un toque de balón excepcional.,66424faef149716776628a09
8796499,Inflado duradero,La cámara con 50 % de butilo conserva la presión de inflado durante más tiempo.,66424faef149716776628a0a
